ed_id,ed_x,ed_y,ed_z,sf,gw_id,gw_x,gw_y,gw_z,distance
66.0,-190.065,-173.79,1.0,7.0,100.0,0.0,0.0,50.0,262.161
67.0,74.71,327.729,1.0,7.0,100.0,0.0,0.0,50.0,339.689
68.0,-336.894,35.2379,1.0,7.0,100.0,0.0,0.0,50.0,342.257
69.0,-475.76,5.74169,1.0,7.0,100.0,0.0,0.0,50.0,478.312
70.0,-111.096,413.626,1.0,9.0,100.0,0.0,0.0,50.0,431.08
71.0,-210.204,-268.329,1.0,7.0,100.0,0.0,0.0,50.0,344.365
72.0,13.4816,95.9235,1.0,7.0,100.0,0.0,0.0,50.0,108.554
73.0,320.805,-108.366,1.0,7.0,100.0,0.0,0.0,50.0,342.14
74.0,342.369,-140.384,1.0,7.0,100.0,0.0,0.0,50.0,373.263
75.0,319.725,207.731,1.0,7.0,100.0,0.0,0.0,50.0,384.418
76.0,339.593,20.4361,1.0,7.0,100.0,0.0,0.0,50.0,343.718
77.0,-34.0605,18.1501,1.0,7.0,100.0,0.0,0.0,50.0,62.3742
78.0,-408.39,267.439,1.0,12.0,100.0,0.0,0.0,50.0,490.619
79.0,-22.0674,355.839,1.0,7.0,100.0,0.0,0.0,50.0,359.874
80.0,-347.941,-200.281,1.0,10.0,100.0,0.0,0.0,50.0,404.446
81.0,462.033,21.5422,1.0,10.0,100.0,0.0,0.0,50.0,465.124
82.0,60.3274,-213.052,1.0,7.0,100.0,0.0,0.0,50.0,226.785
83.0,-423.496,125.101,1.0,8.0,100.0,0.0,0.0,50.0,444.297
84.0,-274.354,190.938,1.0,7.0,100.0,0.0,0.0,50.0,337.829
85.0,162.781,162.548,1.0,7.0,100.0,0.0,0.0,50.0,235.203
86.0,-373.309,31.9526,1.0,7.0,100.0,0.0,0.0,50.0,377.865
87.0,-239.594,91.1678,1.0,7.0,100.0,0.0,0.0,50.0,260.994
88.0,-205.022,53.0982,1.0,10.0,100.0,0.0,0.0,50.0,217.381
89.0,-138.505,159.846,1.0,7.0,100.0,0.0,0.0,50.0,217.107
90.0,241.381,-336.589,1.0,8.0,100.0,0.0,0.0,50.0,417.082
91.0,434.15,56.5336,1.0,12.0,100.0,0.0,0.0,50.0,440.549
92.0,-215.515,-430.789,1.0,8.0,100.0,0.0,0.0,50.0,484.176
93.0,-266.132,372.976,1.0,7.0,100.0,0.0,0.0,50.0,460.802
94.0,-396.757,145.501,1.0,7.0,100.0,0.0,0.0,50.0,425.427
95.0,185.825,-27.4153,1.0,7.0,100.0,0.0,0.0,50.0,194.122
96.0,-125.682,-392.556,1.0,7.0,100.0,0.0,0.0,50.0,415.087
97.0,-179.338,-115.053,1.0,7.0,100.0,0.0,0.0,50.0,218.633
98.0,-65.0396,-383.442,1.0,7.0,100.0,0.0,0.0,50.0,391.993
99.0,-131.965,114.93,1.0,7.0,100.0,0.0,0.0,50.0,181.727
