raw,mov_average,mean,median,time
44.56,61.49,62.23,64.55,1599846534.6430945
64.55,57.76,58.11,64.55,1599846535.650876
64.55,64.17,64.78,64.55,1599846538.2451832
65.89,64.06,64.64,64.55,1599846540.8182309
64.55,64.11,64.72,64.55,1599846543.3833766
64.55,63.7,64.26,64.55,1599846545.9415426
45.9,57.39,58.23,64.55,1599846548.498159
64.11,57.54,57.95,64.53,1599846551.2222478
64.55,63.97,64.48,64.55,1599846554.0302048
64.55,63.94,64.51,64.55,1599846556.5885265
45.9,55.16,56.09,64.55,1599846559.145028
69.25,43.55,43.82,45.47,1599846562.0014956
69.47,68.19,68.58,68.6,1599846565.1512592
69.14,67.98,68.41,68.4,1599846567.7333422
68.28,67.93,68.4,68.29,1599846570.2896895
68.29,67.81,68.33,68.29,1599846572.9530632
67.91,67.81,68.31,68.29,1599846575.5444806
68.24,67.87,68.44,68.46,1599846578.178187
3.53,43.7,44.83,68.21,1599846580.959347
2.93,2.1,2.77,2.84,1599846584.1366234
67.64,8.31,8.37,2.95,1599846587.5010686
68.73,68.91,69.35,69.26,1599846590.8097968
69.14,68.69,69.09,69.14,1599846593.8079567
68.35,66.58,67.07,67.76,1599846596.647529
66.95,65.37,65.86,68.54,1599846599.3787355
34.3,59.52,60.28,67.99,1599846602.744305
65.52,36.14,36.36,32.83,1599846605.9753487
45.03,63.28,64.04,64.55,1599846609.2092834
64.55,59.32,59.75,64.55,1599846611.7911863
64.55,54.38,54.74,45.47,1599846614.5148528
64.55,61.17,61.74,64.6,1599846617.4723806
65.9,64.15,64.8,64.57,1599846620.1608186
64.57,58.09,58.57,64.57,1599846622.758249
64.57,61.9,62.45,64.57,1599846625.5313413
64.55,60.03,60.55,64.57,1599846628.11282
65.0,64.19,65.1,65.0,1599846630.761113
64.55,64.13,64.97,65.0,1599846633.3335838
65.0,64.16,64.99,64.98,1599846635.8988879
45.47,55.28,55.97,64.57,1599846638.4637542
64.57,60.3,60.72,64.57,1599846641.3542838
45.03,60.43,61.09,64.57,1599846644.0537384
65.6,60.59,60.89,64.55,1599846646.7176843
64.55,62.08,62.59,64.57,1599846649.4004436
64.57,58.06,58.57,64.55,1599846652.0557404
45.03,63.58,64.33,64.55,1599846654.8382435
64.98,61.73,62.13,64.55,1599846657.402362
45.03,62.72,63.56,64.57,1599846660.0446317
64.57,62.9,63.63,64.57,1599846662.5924902
64.57,62.49,63.09,64.57,1599846665.1342106
65.0,64.05,64.84,64.98,1599846667.750531
65.0,63.24,64.02,65.0,1599846670.2837336
65.0,63.15,63.95,65.0,1599846672.8262222
65.0,60.44,61.18,65.0,1599846675.3752794
65.0,60.59,61.36,64.98,1599846678.0576644
