raw,mov_average,mean,median,time
45.9,58.88,59.78,64.57,1599846680.6897635
45.03,44.89,45.23,45.47,1599846683.4211886
65.0,52.96,53.14,45.03,1599846686.7866032
65.0,63.87,64.68,64.98,1599846689.8368866
65.0,64.06,64.88,64.98,1599846692.3863115
45.47,62.67,63.63,64.98,1599846694.9266605
65.0,60.44,61.01,64.56,1599846697.517687
64.57,64.05,64.71,64.57,1599846700.2253425
45.03,61.74,62.45,64.55,1599846702.7836115
45.47,49.55,49.96,45.47,1599846705.3973818
64.55,64.25,64.72,64.57,1599846708.535974
64.57,60.82,61.33,64.57,1599846711.1349416
64.57,64.04,64.68,64.57,1599846713.7827349
64.57,63.97,64.52,64.57,1599846716.388933
63.66,63.57,64.12,64.57,1599846718.9930868
65.9,56.38,56.86,64.57,1599846721.590116
64.57,63.28,63.96,64.57,1599846724.404743
65.0,63.75,64.45,64.57,1599846726.9787307
64.55,64.01,64.71,64.57,1599846729.5511637
65.0,63.95,64.68,64.57,1599846732.116252
65.0,63.44,64.2,64.98,1599846734.7638621
65.0,63.43,64.29,65.0,1599846737.3387375
64.55,63.65,64.49,65.0,1599846739.93714
64.09,64.01,64.8,65.0,1599846742.5015295
65.0,62.88,63.71,65.0,1599846745.0668902
65.0,63.37,64.07,65.0,1599846747.6651533
45.47,54.31,55.12,54.99,1599846750.2214606
45.47,60.04,60.92,65.0,1599846753.1276984
65.0,63.11,64.03,65.0,1599846755.8169916
65.0,64.05,64.98,65.0,1599846758.3832679
65.0,64.14,64.76,65.0,1599846760.9485497
65.0,61.92,62.58,65.0,1599846763.497795
65.0,64.26,64.91,65.0,1599846766.1061823
64.09,64.04,64.42,64.53,1599846768.6629004
65.0,64.36,64.83,65.0,1599846771.2116032
65.0,64.38,64.99,65.0,1599846773.761036
64.98,53.27,54.01,45.9,1599846776.3106499
65.0,63.92,64.7,65.0,1599846779.2930043
65.0,62.42,62.98,64.98,1599846781.8513234
64.09,64.13,64.63,64.98,1599846784.4836013
65.0,64.14,64.72,65.0,1599846787.039539
45.47,63.87,65.0,65.0,1599846789.6047757
64.98,54.71,55.4,64.09,1599846792.169285
65.0,62.88,63.67,65.0,1599846795.0774164
65.0,57.24,58.05,65.0,1599846797.691691
65.0,63.8,64.68,65.0,1599846800.4729846
64.09,62.87,63.71,65.0,1599846803.0613418
65.0,59.64,60.43,65.0,1599846805.6353621
64.09,64.02,64.93,65.0,1599846808.374861
65.0,64.0,64.85,65.0,1599846810.9238489
64.09,64.11,64.87,65.0,1599846813.473264
64.09,63.39,63.92,65.0,1599846816.0224054
45.47,63.92,64.7,65.0,1599846818.5716555
65.0,64.3,64.98,65.0,1599846821.1200721
65.02,64.6,65.1,65.02,1599846823.670168
65.0,64.11,64.87,65.0,1599846826.2282465
65.0,63.87,64.73,65.0,1599846828.7933989
64.09,63.99,64.73,65.0,1599846831.3654046
65.0,60.64,61.3,65.0,1599846833.9310138
