sonar_raw,sonar_mean,sonar_median,lidar_raw,time
26.95,26.95,26.95,24.3,1606224217.7514784
26.95,26.97,26.95,23.6,1606224220.754633
26.95,26.95,26.95,23.5,1606224223.7574692
26.95,26.95,26.95,23.6,1606224226.760412
26.95,26.95,26.95,23.9,1606224229.7635393
26.95,26.95,26.95,23.9,1606224232.7665164
26.95,26.95,26.95,23.6,1606224235.7695575
26.95,26.95,26.95,24.1,1606224238.7725215
26.95,26.95,26.95,23.6,1606224241.7757237
26.95,27.0,26.95,23.9,1606224244.778575
26.95,26.97,26.95,24.2,1606224247.7816637
26.95,26.95,26.95,23.9,1606224250.784754
26.95,26.95,26.95,24.1,1606224253.7875476
26.95,26.95,26.95,23.9,1606224256.7908483
27.39,27.02,26.95,24.2,1606224259.7944949
27.39,27.17,27.17,23.7,1606224262.797015
26.95,27.08,26.95,23.3,1606224265.8001795
26.93,26.95,26.95,24.3,1606224268.8029156
27.39,27.02,26.95,23.7,1606224271.8061488
27.39,27.3,27.39,24.3,1606224274.8092334
26.95,27.15,26.95,24.4,1606224277.8122272
27.37,27.32,27.39,24.1,1606224280.8151588
27.39,27.38,27.39,23.6,1606224283.818302
27.39,27.38,27.39,23.8,1606224286.8212693
27.39,27.38,27.39,23.6,1606224289.8243
27.39,27.38,27.39,24.0,1606224292.8275435
27.39,27.39,27.39,23.7,1606224295.830488
27.39,27.39,27.39,23.5,1606224298.8331683
27.39,27.39,27.39,24.1,1606224301.8365543
27.39,27.38,27.39,23.8,1606224304.839709
27.39,27.38,27.39,23.2,1606224307.8427763
27.39,27.39,27.39,24.1,1606224310.8448455
27.39,27.38,27.39,24.0,1606224313.8488905
27.37,27.39,27.39,24.1,1606224316.8515818
27.39,27.38,27.39,23.9,1606224319.8546176
27.39,27.39,27.39,23.3,1606224322.8578103
27.39,27.38,27.39,24.0,1606224325.860558
27.39,27.39,27.39,24.3,1606224328.8640544
27.39,27.38,27.39,23.6,1606224331.8670347
27.39,27.39,27.39,23.7,1606224334.8701549
27.39,27.39,27.39,24.0,1606224337.873241
27.39,27.38,27.39,23.2,1606224340.8761408
27.39,27.39,27.39,23.5,1606224343.8790014
27.39,27.38,27.39,23.3,1606224346.8820817
27.39,27.39,27.39,23.8,1606224349.884956
27.39,27.38,27.39,24.3,1606224352.8879564
27.39,27.38,27.39,23.6,1606224355.8911111
27.39,27.38,27.39,24.0,1606224358.8942108
27.39,27.38,27.39,24.0,1606224361.897423
27.39,27.38,27.39,24.2,1606224364.9004438
27.39,27.39,27.39,23.9,1606224367.9032967
27.39,27.38,27.38,23.9,1606224370.9063168
27.39,27.38,27.39,24.1,1606224373.909321
27.39,27.38,27.39,23.9,1606224376.9123833
27.39,27.38,27.39,23.9,1606224379.9153194
27.37,27.38,27.37,23.7,1606224382.918395
27.39,27.38,27.39,23.7,1606224385.9215672
27.39,27.38,27.39,23.9,1606224388.9245763
27.39,27.38,27.39,23.8,1606224391.9277215
27.39,27.38,27.39,23.9,1606224394.9306417
27.39,27.41,27.39,24.0,1606224397.9338257
27.39,27.38,27.39,24.5,1606224400.9367774
27.39,27.38,27.39,23.7,1606224403.9399803
27.82,27.38,27.39,24.2,1606224406.9430928
27.37,27.39,27.39,23.5,1606224409.945934
27.39,27.39,27.39,23.9,1606224412.949035
27.39,27.38,27.39,24.0,1606224415.951962
27.39,27.38,27.39,23.9,1606224418.9551916
27.39,27.4,27.39,23.3,1606224421.9581685
27.39,27.4,27.39,24.0,1606224424.9612017
27.39,27.41,27.39,23.9,1606224427.9642267
27.39,27.43,27.39,23.9,1606224430.966972
27.39,27.51,27.39,23.7,1606224433.970283
27.39,27.38,27.39,24.0,1606224436.9735289
27.39,27.38,27.39,24.0,1606224439.9764597
27.37,27.43,27.39,23.8,1606224442.9795678
27.39,27.38,27.39,23.8,1606224445.9822674
27.39,27.39,27.39,24.4,1606224448.98565
27.39,27.38,27.39,24.1,1606224451.9880102
27.39,27.38,27.39,23.3,1606224454.9912856
27.39,27.38,27.39,24.1,1606224457.9941852
27.39,27.38,27.39,23.8,1606224460.9971805
27.39,27.38,27.39,24.0,1606224464.0002117
27.39,27.38,27.39,23.1,1606224467.0032845
27.37,27.38,27.39,24.0,1606224470.0065594
27.37,27.47,27.39,23.6,1606224473.0093622
27.39,27.43,27.39,23.9,1606224476.0123894
27.39,27.49,27.39,24.0,1606224479.0154421
27.37,27.58,27.39,24.4,1606224482.018639
27.37,27.6,27.6,24.1,1606224485.0215974
27.39,27.47,27.39,24.0,1606224488.0247345
27.39,27.4,27.39,23.8,1606224491.0277505
27.39,27.38,27.39,24.3,1606224494.0307176
27.82,27.67,27.82,23.4,1606224497.0337572
27.37,27.45,27.39,24.3,1606224500.0370133
27.39,27.4,27.39,24.1,1606224503.0400136
27.39,27.47,27.39,23.8,1606224506.0427465
27.39,27.38,27.39,23.9,1606224509.0459054
27.39,27.38,27.39,23.8,1606224512.0489109
27.39,27.43,27.39,23.9,1606224515.0520222
27.82,27.45,27.39,23.7,1606224518.0549242
27.39,27.45,27.39,24.0,1606224521.0582228
27.82,27.49,27.39,24.2,1606224524.061401
27.39,27.56,27.39,23.8,1606224527.0642104
27.39,27.62,27.82,23.8,1606224530.067519
27.82,27.43,27.39,23.7,1606224533.0702655
27.82,27.58,27.39,24.2,1606224536.0733244
27.82,27.75,27.82,24.1,1606224539.0763395
27.39,27.71,27.82,24.1,1606224542.0792418
27.82,27.62,27.82,23.2,1606224545.0824106
27.39,27.62,27.82,23.3,1606224548.0856519
27.82,27.49,27.39,23.9,1606224551.0883982
27.82,27.6,27.6,24.1,1606224554.0915062
27.82,27.71,27.82,23.9,1606224557.0945346
27.82,27.58,27.39,23.8,1606224560.0977287
27.82,27.51,27.39,23.7,1606224563.1005383
27.39,27.55,27.39,24.0,1606224566.1037896
27.39,27.42,27.38,23.9,1606224569.1069129
27.37,27.58,27.39,24.0,1606224572.1098545
27.82,27.78,27.82,23.4,1606224575.1128602
27.82,27.8,27.82,23.7,1606224578.115716
27.82,27.58,27.39,23.9,1606224581.1190934
27.82,27.73,27.82,23.8,1606224584.122259
27.37,27.42,27.37,23.3,1606224587.1252508
27.39,27.49,27.39,23.8,1606224590.128138
27.37,27.49,27.39,23.8,1606224593.1311128
27.37,27.47,27.39,24.4,1606224596.1342993
27.82,27.53,27.39,23.5,1606224599.1371927
27.82,27.82,27.82,24.2,1606224602.140217
27.82,27.82,27.82,23.6,1606224605.143442
27.82,27.82,27.82,24.1,1606224608.146253
27.82,27.62,27.82,24.0,1606224611.1493711
27.82,27.78,27.82,23.7,1606224614.1526685
27.82,27.82,27.82,24.2,1606224617.1557448
27.82,27.82,27.82,23.8,1606224620.1579077
27.82,27.82,27.82,23.5,1606224623.1610007
27.82,27.82,27.82,24.0,1606224626.1640108
27.82,27.82,27.82,23.7,1606224629.1668887
27.82,27.8,27.82,23.8,1606224632.1696985
26.9,27.75,27.82,23.8,1606224635.1729019
27.82,27.73,27.82,23.9,1606224638.175988
27.82,27.8,27.82,24.1,1606224641.178984
27.82,27.82,27.82,23.9,1606224644.1819465
27.82,27.82,27.82,23.9,1606224647.1851056
27.82,27.8,27.82,23.8,1606224650.1880262
27.82,27.82,27.82,23.9,1606224653.1918728
27.82,27.82,27.82,24.0,1606224656.1941724
27.82,27.7,27.82,24.2,1606224659.1974032
27.82,27.82,27.82,24.3,1606224662.2005389
27.82,27.82,27.82,23.7,1606224665.2036245
27.82,27.77,27.82,24.2,1606224668.2068627
27.82,27.82,27.82,24.2,1606224671.210173
27.82,27.82,27.82,23.5,1606224674.213333
27.82,27.82,27.82,24.0,1606224677.2165139
27.82,27.82,27.82,24.3,1606224680.2194943
27.82,27.78,27.82,23.6,1606224683.222341
27.82,27.82,27.82,23.7,1606224686.2255955
27.82,27.82,27.82,24.0,1606224689.2285159
