raw,mov_average,mean,median,time
36.27,35.75,36.1,36.27,1599844718.549517
34.93,35.11,35.61,35.37,1599844720.4956493
34.93,34.13,35.01,34.93,1599844723.8603275
34.93,34.29,35.09,34.93,1599844727.2242804
34.93,34.06,34.96,34.93,1599844730.5887463
34.93,34.24,35.04,34.93,1599844733.952969
36.27,35.74,36.04,36.27,1599844737.3173022
34.93,35.53,35.97,36.27,1599844740.6817648
34.5,34.02,34.92,34.93,1599844744.0461369
34.5,34.0,34.68,34.5,1599844747.4107144
34.93,34.23,34.96,34.93,1599844750.7753685
36.27,35.18,35.79,35.84,1599844754.1399934
34.92,34.92,35.7,35.84,1599844757.5050485
34.93,34.15,34.93,34.93,1599844760.869543
35.37,34.03,34.91,34.93,1599844764.2348127
36.27,35.42,35.82,36.27,1599844767.5992255
34.93,35.58,36.01,36.27,1599844770.964546
35.84,34.29,35.15,34.93,1599844774.3289828
35.84,35.1,35.81,35.84,1599844777.693699
35.84,35.01,35.82,35.84,1599844781.0587173
34.92,34.23,35.12,34.93,1599844784.4232898
36.27,34.21,35.04,34.93,1599844787.7888925
36.27,34.9,35.49,35.35,1599844791.1543882
34.92,35.24,35.66,35.35,1599844794.5195801
34.93,34.18,35.06,34.93,1599844797.8853116
34.93,34.07,34.96,34.93,1599844801.250449
34.93,34.15,34.88,34.93,1599844804.6163006
36.27,35.08,35.7,35.84,1599844807.980815
36.2,35.32,35.96,35.84,1599844811.3454547
34.93,34.78,35.49,35.35,1599844814.70912
34.92,34.09,34.96,34.93,1599844818.0724127
36.27,34.87,35.6,35.84,1599844821.4359915
34.93,34.6,35.44,35.79,1599844824.8004065
35.84,34.26,35.07,34.93,1599844828.165021
34.92,34.13,35.04,34.93,1599844831.5296588
34.5,34.01,34.78,34.92,1599844834.8952785
36.27,34.1,34.81,34.93,1599844838.2612927
36.27,34.96,35.64,35.84,1599844841.6273046
35.84,35.08,35.84,35.84,1599844844.993436
35.84,34.93,35.73,35.84,1599844848.3580313
34.92,34.98,35.76,35.84,1599844851.723308
35.84,34.29,35.12,34.93,1599844855.0884547
35.84,34.79,35.53,35.84,1599844858.4532332
35.84,34.91,35.75,35.84,1599844861.818608
35.84,34.29,35.15,34.93,1599844865.1830459
35.84,34.6,35.46,35.84,1599844868.5471082
36.27,34.9,35.73,35.84,1599844871.9108117
36.27,34.84,35.67,35.84,1599844875.2754474
34.93,34.36,35.24,34.93,1599844878.6387312
35.4,35.01,35.78,35.84,1599844882.0027287
35.84,35.02,35.75,35.84,1599844885.3665416
35.84,34.93,35.77,35.84,1599844888.7308676
35.84,34.97,35.81,35.84,1599844892.094696
35.4,35.03,35.75,35.84,1599844895.458427
34.93,34.75,35.4,35.4,1599844898.8226142
34.92,34.69,35.5,35.84,1599844902.1870267
35.84,34.65,35.34,35.4,1599844905.5509715
35.84,34.64,35.43,35.84,1599844908.9147694
35.84,35.0,35.82,35.84,1599844912.2783782
35.84,34.95,35.71,35.84,1599844915.64139
34.93,34.89,35.67,35.84,1599844919.0048337
35.84,34.66,35.41,35.4,1599844922.3677971
35.84,34.96,35.78,35.84,1599844925.7315645
35.84,35.1,35.88,35.84,1599844929.0950313
35.84,35.0,35.78,35.84,1599844932.4584894
34.93,34.55,35.27,34.93,1599844935.8227851
34.5,34.01,34.74,34.92,1599844939.1875145
35.4,34.44,35.27,34.93,1599844942.5531285
35.4,35.0,35.59,35.4,1599844945.9182742
35.84,35.0,35.6,35.4,1599844949.2831469
35.84,34.77,35.61,35.84,1599844952.6478603
35.84,34.96,35.51,35.4,1599844956.01325
35.84,34.77,35.61,35.84,1599844959.3780208
35.84,34.99,35.79,35.84,1599844962.7440772
35.84,34.4,35.25,34.93,1599844966.1096213
35.4,35.0,35.6,35.4,1599844969.4749277
35.84,35.0,35.74,35.84,1599844972.839713
35.84,34.95,35.69,35.84,1599844976.2045076
34.93,34.09,34.72,34.5,1599844979.5692644
35.84,34.77,35.53,35.84,1599844982.9338558
35.84,34.67,35.52,35.84,1599844986.2977147
35.84,34.78,35.62,35.84,1599844989.6611369
34.5,34.42,35.23,34.93,1599844993.02558
35.84,34.78,35.63,35.84,1599844996.389458
35.84,34.62,35.47,35.84,1599844999.7533524
36.27,35.15,35.9,35.84,1599845003.1176763
35.84,35.25,35.95,35.84,1599845006.481991
35.84,34.98,35.8,35.84,1599845009.8467836
35.84,34.99,35.82,35.84,1599845013.2115064
35.4,35.01,35.76,35.84,1599845016.5759358
